Date,Open,High,Low,Close,Volume
21-10-2016,1200,1215.949951,1199.119995,1214.319946,1259660
24-10-2016,1214.099976,1217.449951,1201.280029,1213.849976,1253190
25-10-2016,1202.5,1207.300049,1190.5,1199.219971,1772466
26-10-2016,1199.300049,1201.380005,1186.25,1198.119995,1437130
27-10-2016,1189.849976,1214.75,1182.75,1209.050049,2941602
28-10-2016,1205,1207.550049,1194,1199.349976,1752102
01-11-2016,1199.849976,1199.849976,1167.069946,1175,2934776
02-11-2016,1170.5,1172,1147.5,1152.030029,2325076
03-11-2016,1147,1167.5,1142.25,1159.719971,1463310
04-11-2016,1160,1168.069946,1147,1165.280029,1183752
07-11-2016,1168.949951,1172.449951,1130.030029,1138.530029,2048052
08-11-2016,1140.219971,1153.5,1130,1141.599976,1933634
09-11-2016,1090,1137.5,1071.430054,1084.930054,4500226
10-11-2016,1102.400024,1108.75,1070.400024,1077.719971,2172426
11-11-2016,1073.530029,1073.530029,1043.099976,1050.569946,2398424
15-11-2016,1058.449951,1078.780029,1025.949951,1060.650024,6290324
16-11-2016,1072.550049,1104.449951,1069,1094.800049,4019958
17-11-2016,1092.5,1104.300049,1065.069946,1068.599976,2504688
18-11-2016,1071,1075,1052.099976,1062.550049,2140534
21-11-2016,1063.099976,1070,1052.5,1066.449951,1793366
22-11-2016,1066,1088.719971,1061.030029,1067.5,1318860
23-11-2016,1074.5,1081.469971,1063.599976,1078.180054,1275808
24-11-2016,1077.449951,1103.800049,1068.5,1094.219971,3026234
25-11-2016,1106,1153.619995,1096.099976,1150.180054,4276148
28-11-2016,1147,1159.719971,1125.949951,1141.300049,1924296
29-11-2016,1137.5,1146,1126.280029,1129.930054,1442296
30-11-2016,1132.5,1147.380005,1121.150024,1138.030029,3445832
01-12-2016,1138.5,1145,1127.030029,1131.719971,1123052
02-12-2016,1129,1135.400024,1102.599976,1110.930054,1998032
05-12-2016,1114.5,1118.930054,1085,1093,2249526
06-12-2016,1095,1101.969971,1084.949951,1091.180054,1593444
07-12-2016,1091.099976,1092.219971,1072.819946,1077.280029,2065706
08-12-2016,1080.25,1099.5,1080,1097.880005,3239546
09-12-2016,1102.5,1109.949951,1086.650024,1097.619995,1588718
12-12-2016,1097.400024,1108.800049,1081.5,1104.099976,1311758
13-12-2016,1109,1109,1091.5,1100.150024,2147534
14-12-2016,1107,1112.349976,1094.5,1103.800049,1870366
15-12-2016,1101,1136.050049,1101,1129.650024,4295410
16-12-2016,1138.5,1145,1126,1141.319946,1987230
19-12-2016,1140,1148.849976,1130.650024,1144.449951,1334210
20-12-2016,1146,1172.5,1143.530029,1169.650024,2922760
21-12-2016,1171.900024,1171.900024,1152.800049,1156.800049,2034902
22-12-2016,1153,1162.5,1143.099976,1153.849976,1868300
23-12-2016,1150,1158.880005,1139.400024,1144.050049,1118954
26-12-2016,1133,1150.800049,1133,1146.550049,897408
27-12-2016,1140.75,1165,1140.75,1161.699951,1294692
28-12-2016,1163.349976,1174.949951,1151.569946,1156.699951,1350418
29-12-2016,1151.5,1179.949951,1151.5,1175.849976,1963516
30-12-2016,1177.449951,1189.300049,1172.819946,1182.780029,1405748
02-01-2017,1183.300049,1187.550049,1176.199951,1180.680054,823132
03-01-2017,1180.619995,1185.849976,1171.650024,1184.119995,1475324
04-01-2017,1184.849976,1194.430054,1179.150024,1189.75,1420066
05-01-2017,1192,1194.969971,1160.199951,1167.199951,2216404
06-01-2017,1160.5,1164.680054,1128.550049,1140.699951,3009896
09-01-2017,1137.5,1155.650024,1128.5,1151.849976,1854578
10-01-2017,1152,1164.900024,1145.75,1157.680054,1533914
11-01-2017,1157.5,1164.800049,1140.099976,1162.199951,1931296
12-01-2017,1162.199951,1180,1152,1172.180054,2570374
13-01-2017,1174,1178.969971,1118.930054,1124.650024,10235580
16-01-2017,1125,1136.949951,1114,1129.280029,3364808
17-01-2017,1127.449951,1143.900024,1126.400024,1139.380005,3009956
18-01-2017,1139,1149,1132.719971,1147.550049,3136574
19-01-2017,1147.5,1147.569946,1141.469971,1145.5,2251676
20-01-2017,1143.5,1150,1132.5,1142.680054,2037246
23-01-2017,1132.5,1156.75,1129.900024,1153.349976,2318546
24-01-2017,1152,1161.5,1145,1159.180054,2282638
25-01-2017,1161.300049,1180,1159.030029,1176.5,4111648
27-01-2017,1172.530029,1189.380005,1172.530029,1178.900024,2871658
30-01-2017,1170.5,1175.969971,1159.069946,1166.449951,2577956
31-01-2017,1160,1166.030029,1100.030029,1114.900024,4666804
01-02-2017,1110,1119.969971,1077.780029,1083.949951,4864152
02-02-2017,1085.030029,1109.5,1076.5,1103.819946,6009482
03-02-2017,1104.849976,1121.5,1095.5,1116.280029,2153372
06-02-2017,1129,1129.25,1107.469971,1120.380005,2408910
07-02-2017,1122,1126.300049,1113,1122.300049,1814638
08-02-2017,1122.449951,1141.300049,1122.030029,1135.469971,2212584
09-02-2017,1137.5,1164,1135.099976,1158.650024,4033202
10-02-2017,1155.5,1212.219971,1155.5,1198.969971,5782160
13-02-2017,1198,1214.5,1191.180054,1207.119995,3819812
14-02-2017,1209.819946,1209.819946,1199,1203.119995,2033328
15-02-2017,1198.5,1214,1187.550049,1206.849976,1924972
16-02-2017,1230,1239,1217.800049,1223.880005,4175680
17-02-2017,1236,1237.800049,1201,1203.949951,2723324
20-02-2017,1212.5,1277.5,1204.050049,1251.099976,3973948
21-02-2017,1257,1262.949951,1227.569946,1232.680054,5501112
22-02-2017,1232.949951,1235,1200.069946,1205.75,4505496
23-02-2017,1207.5,1246.619995,1207.5,1240.900024,4853352
27-02-2017,1239.550049,1251,1235.030029,1244.930054,2139892
28-02-2017,1244.75,1245,1225,1233.119995,2354828
01-03-2017,1239.949951,1250.949951,1235,1239.780029,1130374
02-03-2017,1243.349976,1255,1235.030029,1250.719971,1544942
03-03-2017,1246,1249.849976,1237.699951,1247.030029,1013970
06-03-2017,1240,1242,1227.280029,1236.25,1400694
07-03-2017,1241.449951,1252.5,1237.530029,1249.900024,1511672
08-03-2017,1251,1260,1246.099976,1256.099976,1791510
09-03-2017,1257.069946,1262,1252.030029,1259.880005,858468
10-03-2017,1259.800049,1274.780029,1256.969971,1271.119995,1171420
14-03-2017,1278.400024,1293.569946,1275.530029,1283.75,3402294
15-03-2017,1286,1286.069946,1246.930054,1249.150024,3022496
16-03-2017,1253,1263.5,1253,1260.449951,1571818
17-03-2017,1273,1273,1254.880005,1262.880005,2593152
20-03-2017,1262.969971,1262.969971,1233,1240,3487540
21-03-2017,1241,1246,1232.5,1243.349976,3373700
22-03-2017,1240.069946,1248,1234.969971,1239.469971,1888716
